timestamp,ticker,score
2022-01-31,PLTR,412
2022-02-01,PYPL,241
2022-02-01,GOOG,208
2022-02-02,FB,1333
2022-02-02,SNAP,147
2022-02-04,NFLX,118
2022-02-06,DIS,139
2022-02-07,DWAC,140
2022-02-07,BABA,172
2022-02-08,TWTR,274
2022-02-10,SAVA,1178
2022-02-10,AFRM,568
2022-02-10,PTON,136
2022-02-14,RBLX,169
2022-02-15,SPCE,233
2022-02-15,PPI,218
2022-02-15,UPST,108
2022-02-16,SHOP,108
2022-02-16,NVDA,1291
2022-02-17,ROKU,213
2022-02-17,DKNG,103
2022-02-17,ZM,390
2022-02-20,TEAM,1614
2022-02-22,TSM,128
2022-02-23,PLTR,380
2022-02-23,FB,169
2022-02-23,CLOV,132
2022-02-24,SQ,124
2022-02-24,RSX,229
2022-02-25,RKT,195
2022-02-27,BP,167
2022-02-28,LCID,104
2022-03-01,INTC,219
2022-03-01,SOFI,304
2022-03-06,BBBY,116
2022-03-08,XOM,113
2022-03-09,AMZN,227
2022-03-10,RIVN,344
2022-03-11,BABA,155
2022-03-14,VXX,137
2022-03-15,AMC,537
2022-03-17,GME,3140
2022-03-19,RSX,217
2022-03-21,NFLX,662
2022-03-21,BA,153
2022-03-24,SNDL,120
2022-03-24,NIO,168
2022-03-24,TLRY,551
2022-03-24,NVDA,340
2022-03-28,BB,129
2022-03-29,HOOD,195
2022-03-29,BBBY,131
2022-03-29,MU,131
2022-03-31,AMD,399
2022-03-31,NOK,103
2022-04-02,WISH,309
2022-04-02,DIS,107
2022-04-03,OXY,188
2022-04-04,TWTR,725
2022-04-05,BABA,181
2022-04-05,DWAC,205
2022-04-05,HMHC,267
2022-04-05,SST,158
2022-04-06,ARKK,147
2022-04-07,APPL,186
2022-04-07,SOFI,188
2022-04-12,COIN,161
2022-04-13,PPI,177
2022-04-14,TSM,117
2022-04-17,FSD,188
2022-04-18,NFLX,166
2022-04-19,CLOV,104
2022-04-20,TSLA,2123
2022-04-20,AMZN,106
2022-04-20,FB,246
2022-04-20,SNAP,111
2022-04-22,BBBY,110
2022-04-24,MSFT,149
2022-04-25,ZIM,143
2022-04-25,TWTR,786
2022-04-26,VIX,504
2022-04-26,DWAC,109
2022-04-26,GOOG,275
2022-04-27,INTC,115
2022-04-27,BYND,130
2022-04-27,PYPL,102
2022-04-28,APPL,185
2022-04-28,AAPL,618
2022-04-28,ARKK,144
2022-04-28,HOOD,626
2022-04-28,F,257
2022-04-28,TGT,235
2022-05-01,PLTR,184
2022-05-03,AMD,688
2022-05-03,ABNB,150
2022-05-07,ARK,184
2022-05-09,RIVN,130
2022-05-09,UPST,190
2022-05-09,COIN,139
2022-05-10,DOW,104
2022-05-10,PTON,170
2022-05-10,RBLX,137
2022-05-10,SOFI,543
2022-05-11,TLRY,106
2022-05-11,DIS,216
2022-05-16,SNDL,136
2022-05-16,NFLX,652
2022-05-16,TWTR,355
2022-05-17,WMT,129
