window_slug,window_start_utc,capture_utc,sec_left,open_px,spot_at_capture,move_usd,abs_move,signal70,up_ask,down_ask,favored_side,favored_ask,close_px,outcome,favored_win
btc-updown-5m-1781960700,2026-06-20T13:05:00Z,2026-06-20T13:07:40Z,140,63628.0,63632.01,4.01,4.01,False,0.65,0.36,Up,0.65,63622.23,Down,False
btc-updown-5m-1781961000,2026-06-20T13:10:00Z,2026-06-20T13:12:43Z,137,63622.23,63626.04,3.81,3.81,False,0.4,0.61,Up,0.4,63586.0,Down,False
btc-updown-5m-1781961300,2026-06-20T13:15:00Z,2026-06-20T13:17:46Z,134,63586.01,63609.99,23.98,23.98,False,0.85,0.19,Up,0.85,63550.31,Down,False
btc-updown-5m-1781961600,2026-06-20T13:20:00Z,2026-06-20T13:22:41Z,138,63550.3,63455.6,-94.7,94.7,True,0.06,0.95,Down,0.95,63338.0,Down,True
btc-updown-5m-1781961900,2026-06-20T13:25:00Z,2026-06-20T13:27:44Z,136,63338.01,63294.01,-44.0,44.0,False,0.37,0.64,Down,0.64,63348.94,Up,False
btc-updown-5m-1781962200,2026-06-20T13:30:00Z,2026-06-20T13:32:46Z,133,63348.95,63402.01,53.06,53.06,False,0.88,0.13,Up,0.88,63366.01,Up,True
btc-updown-5m-1781962500,2026-06-20T13:35:00Z,2026-06-20T13:37:42Z,138,63366.0,63435.2,69.2,69.2,False,0.91,0.1,Up,0.91,63447.74,Up,True
btc-updown-5m-1781962800,2026-06-20T13:40:00Z,2026-06-20T13:42:45Z,135,63447.75,63450.01,2.26,2.26,False,0.44,0.57,Up,0.44,63450.0,Up,True
btc-updown-5m-1781963100,2026-06-20T13:45:00Z,2026-06-20T13:47:40Z,139,63449.99,63478.02,28.03,28.03,False,0.67,0.36,Up,0.67,63491.67,Up,True
btc-updown-5m-1781963400,2026-06-20T13:50:00Z,2026-06-20T13:52:43Z,136,63491.67,63464.01,-27.66,27.66,False,0.24,0.77,Down,0.77,63380.0,Down,True
btc-updown-5m-1781963700,2026-06-20T13:55:00Z,2026-06-20T13:57:46Z,133,63380.0,63410.71,30.71,30.71,False,0.87,0.14,Up,0.87,63397.78,Up,True
btc-updown-5m-1781964000,2026-06-20T14:00:00Z,2026-06-20T14:02:42Z,138,63397.77,63352.51,-45.26,45.26,False,0.07,0.94,Down,0.94,63346.64,Down,True
btc-updown-5m-1781964300,2026-06-20T14:05:00Z,2026-06-20T14:07:44Z,135,63346.65,63276.33,-70.32,70.32,True,0.06,0.95,Down,0.95,63239.16,Down,True
btc-updown-5m-1781964600,2026-06-20T14:10:00Z,2026-06-20T14:12:40Z,139,63239.16,63276.0,36.84,36.84,False,0.73,0.28,Up,0.73,63209.27,Down,False
btc-updown-5m-1781964900,2026-06-20T14:15:00Z,2026-06-20T14:17:43Z,137,63209.27,63271.19,61.92,61.92,False,0.77,0.24,Up,0.77,63324.7,Up,True
btc-updown-5m-1781965200,2026-06-20T14:20:00Z,2026-06-20T14:22:45Z,134,63324.7,63331.9,7.2,7.2,False,0.54,0.47,Up,0.54,63352.0,Up,True
btc-updown-5m-1781965500,2026-06-20T14:25:00Z,2026-06-20T14:27:41Z,139,63352.01,63352.0,-0.01,0.01,False,0.4,0.61,Down,0.61,63369.99,Up,False
btc-updown-5m-1781965800,2026-06-20T14:30:00Z,2026-06-20T14:32:44Z,136,63369.99,63400.0,30.01,30.01,False,0.83,0.18,Up,0.83,63408.01,Up,True
btc-updown-5m-1781966100,2026-06-20T14:35:00Z,2026-06-20T14:37:46Z,133,63408.0,63449.84,41.84,41.84,False,0.91,0.1,Up,0.91,63404.01,Down,False
btc-updown-5m-1781966400,2026-06-20T14:40:00Z,2026-06-20T14:42:42Z,137,63404.02,63384.0,-20.02,20.02,False,0.17,0.84,Down,0.84,63508.0,Up,False
btc-updown-5m-1781966700,2026-06-20T14:45:00Z,2026-06-20T14:47:45Z,134,63508.0,63856.01,348.01,348.01,True,0.99,0.02,Up,0.99,63953.99,Up,True
btc-updown-5m-1781967000,2026-06-20T14:50:00Z,2026-06-20T14:52:41Z,139,63954.0,63946.15,-7.85,7.85,False,0.33,0.68,Down,0.68,63906.01,Down,True
